Date,Field turbidity (1m NTU),Satellite raw value
"May 9, 2022, 3:00:00 AM",,1.976
"May 19, 2022, 3:00:00 AM",,1.935
"May 24, 2022, 3:00:00 AM",,1.927
"May 29, 2022, 3:00:00 AM",,1.895
"Jun 3, 2022, 3:00:00 AM",,1.871
"Jun 8, 2022, 3:00:00 AM",,1.773
"Jun 13, 2022, 3:00:00 AM",,1.658
"Jun 18, 2022, 3:00:00 AM",,1.731
"Jun 23, 2022, 3:00:00 AM",,1.946
"Jun 28, 2022, 3:00:00 AM",,1.818
"Jul 3, 2022, 3:00:00 AM",,1.807
"Jul 8, 2022, 3:00:00 AM",,1.84
"Jul 13, 2022, 3:00:00 AM",,1.84
"Jul 18, 2022, 3:00:00 AM",,1.778
"Aug 7, 2022, 3:00:00 AM",,1.685
"Aug 12, 2022, 3:00:00 AM",,1.614
"Aug 22, 2022, 3:00:00 AM",,1.66
"Aug 27, 2022, 3:00:00 AM",,1.891
"Sep 1, 2022, 3:00:00 AM",,1.602
"Sep 21, 2022, 3:00:00 AM",,1.579
"Oct 6, 2022, 3:00:00 AM",,2.132
"Oct 16, 2022, 3:00:00 AM",,1.966
"Nov 5, 2022, 2:00:00 AM",,1.803
"Dec 5, 2022, 2:00:00 AM",,1.51
"Dec 20, 2022, 2:00:00 AM",,1.603
"Dec 25, 2022, 2:00:00 AM",,1.587
"Jan 4, 2023, 2:00:00 AM",,1.515
"Jan 9, 2023, 2:00:00 AM",,1.585
"Mar 10, 2023, 2:00:00 AM",,1.553
"Mar 15, 2023, 2:00:00 AM",,1.697
"Mar 20, 2023, 2:00:00 AM",,1.644
"Mar 25, 2023, 2:00:00 AM",,1.52
"Mar 30, 2023, 3:00:00 AM",,1.746
"Apr 19, 2023, 3:00:00 AM",,1.834
"Apr 24, 2023, 3:00:00 AM",,1.82
"Apr 29, 2023, 3:00:00 AM",,1.875
"May 14, 2023, 3:00:00 AM",,1.813
"May 24, 2023, 3:00:00 AM",,1.896
"May 29, 2023, 3:00:00 AM",,1.925
"Jun 3, 2023, 3:00:00 AM",,1.961
"Jun 13, 2023, 3:00:00 AM",,1.862
"Jun 18, 2023, 3:00:00 AM",,1.939
"Jun 23, 2023, 3:00:00 AM",,1.823
"Jun 28, 2023, 3:00:00 AM",,1.918
"Jul 3, 2023, 3:00:00 AM",,1.882
"Jul 8, 2023, 3:00:00 AM",,1.84
"Jul 13, 2023, 3:00:00 AM",,1.702
"Jul 18, 2023, 3:00:00 AM",,1.91
"Jul 23, 2023, 3:00:00 AM",,1.928
"Jul 28, 2023, 3:00:00 AM",,1.841
"Aug 2, 2023, 3:00:00 AM",,1.78
"Aug 7, 2023, 3:00:00 AM",,2
"Sep 1, 2023, 3:00:00 AM",,2.058
"Oct 1, 2023, 3:00:00 AM",,1.672
"Oct 21, 2023, 3:00:00 AM",,1.68
"Oct 31, 2023, 2:00:00 AM",,1.6
"Nov 5, 2023, 2:00:00 AM",,1.95
"Nov 15, 2023, 2:00:00 AM",,1.684
"Nov 20, 2023, 2:00:00 AM",,1.63
"Nov 30, 2023, 2:00:00 AM",,1.888
"Dec 25, 2023, 2:00:00 AM",,1.603
