Ημερομηνία,Θέση στη Γραμμή,undefined,undefined
"Mar 31, 2017, 3:00:00 AM",3,point { size: 7; fill-color: #3BC1FF; },"Ημ/νία: 2017-03-31
Σημείο: 3 (Water)
AreaBGR: 76460.464"
"Mar 31, 2017, 3:00:00 AM",4,point { size: 7; fill-color: #26B6FF; },"Ημ/νία: 2017-03-31
Σημείο: 4 (Water)
AreaBGR: 73647.964"
"Mar 31, 2017, 3:00:00 AM",5,point { size: 7; fill-color: #004EAE; },"Ημ/νία: 2017-03-31
Σημείο: 5 (Water)
AreaBGR: 52835.464"
"Mar 31, 2017, 3:00:00 AM",6,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-03-31
Σημείο: 6 (Land)"
"Mar 31, 2017, 3:00:00 AM",7,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-03-31
Σημείο: 7 (Land)"
"Mar 31, 2017, 3:00:00 AM",8,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-03-31
Σημείο: 8 (Land)"
"Mar 31, 2017, 3:00:00 AM",9,point { size: 7; fill-color: #006ACB; },"Ημ/νία: 2017-03-31
Σημείο: 9 (Water)
AreaBGR: 58085.464"
"Mar 31, 2017, 3:00:00 AM",10,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-03-31
Σημείο: 10 (Land)"
"Mar 31, 2017, 3:00:00 AM",11,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-03-31
Σημείο: 11 (Land)"
"Mar 31, 2017, 3:00:00 AM",12,point { size: 7; fill-color: #0094F2; },"Ημ/νία: 2017-03-31
Σημείο: 12 (Water)
AreaBGR: 65710.464"
"Mar 31, 2017, 3:00:00 AM",13,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-03-31
Σημείο: 13 (Land)"
"Mar 31, 2017, 3:00:00 AM",14,point { size: 7; fill-color: #36BEFF; },"Ημ/νία: 2017-03-31
Σημείο: 14 (Water)
AreaBGR: 75460.464"
"Mar 31, 2017, 3:00:00 AM",15,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-03-31
Σημείο: 15 (Land)"
"Mar 31, 2017, 3:00:00 AM",16,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-03-31
Σημείο: 16 (Land)"
"Mar 31, 2017, 3:00:00 AM",17,point { size: 7; fill-color: #6b7280; },"Ημ/νία: 2017-03-31
Σημείο: 17 (Land)"
