date,basin_rain_monthly_bar_mm3,basin_rain_monthly_rollmean_mm3,basin_et_monthly_bar_mm3_neg,basin_et_monthly_rollmean_mm3_neg,lake_rain_monthly_bar_mm3,lake_rain_monthly_rollmean_mm3,lake_evap_monthly_bar_mm3_neg,lake_evap_monthly_rollmean_mm3_neg,lindos_basin_monthly_bar_mm3,lindos_basin_monthly_rollmean_mm3,lindos_lake_monthly_bar_mm3,lindos_lake_monthly_rollmean_mm3,emponas_basin_monthly_bar_mm3,emponas_basin_monthly_rollmean_mm3,emponas_lake_monthly_bar_mm3,emponas_lake_monthly_rollmean_mm3
2018-06-30,0.5291415327658021,1.9872254017000868,-10.64341407169437,-11.754086727039216,0.0005092570995307034,0.002050858315417765,-0.013442371004854209,-0.014786298899781525,1.7985085774773832,0.5995028591591277,0.0018342283385799998,0.0006114094461933321,4.618908321648176,3.9102909818422074,0.00469933874282,0.004090724742499999
2018-07-31,0.0,1.0970513473818526,-8.943152628009368,-10.450176317570815,0.0,0.0011086200311072204,-0.011245306763065208,-0.013251726804839728,0.0,0.5995028591591277,0.0,0.0006114094461933321,0.0,3.120097334705367,0.0,0.003224654172326666
2018-08-31,0.23851914943467215,0.25588689406682474,-7.535802115547548,-9.040789605083763,0.00020477076624180891,0.00023800928859083742,-0.008915808235590256,-0.011201162001169891,0.0,0.5995028591591277,0.0,0.0006114094461933321,0.0,1.5396361072160587,0.0,0.0015664462476066667
2018-09-30,1.9372127395609207,0.7252439629985309,-7.174228077423992,-7.884394273660303,0.0014278383649141424,0.0005442030437186504,-0.00730849741126048,-0.009156537469971983,1.7172424677229776,0.5724141559076592,0.0012665741922600001,0.0004221913974199989,0.6541872815575448,0.21806242718584826,0.00048282964826,0.00016094321608666666
2018-10-31,10.032843707599467,4.06952519886502,-10.181400090097528,-8.29714342768969,0.007231923827317686,0.0029548443194912124,-0.009296513928196215,-0.008506939858348985,5.438015139544553,2.3850858690891767,0.0039301598537,0.0017322446819866657,4.1296263773118635,1.5946045529564694,0.00297869967478,0.00115384310768
2018-11-30,18.367413615811095,10.112490020990494,-8.700517598539873,-8.685381922020467,0.01308634503207071,0.007248702408100845,-0.006596011057285926,-0.007733674132247542,25.31001636529141,10.82175799085298,0.01753356198316,0.007576765343039999,19.871826685294423,8.218546781387944,0.0137779425819,0.00574649063498
2018-12-31,25.61076243466666,18.00367325269241,-14.434780782577972,-11.105566157071792,0.018396432815684417,0.012904900558357605,-0.011573976781596986,-0.009155500589026378,17.09066445030849,15.94623198504815,0.012592204943159999,0.01135197559334,31.359849708024488,18.45376759021026,0.02339874790378,0.013385130053486669
2019-01-31,54.06647077361069,32.68154894136281,-15.774196383613123,-12.969831588243657,0.05555654999824629,0.02901310928200047,-0.016365367921894025,-0.011511785253592316,49.29582189733267,30.565500904310856,0.049937734804859996,0.026687833910393328,91.88803289285131,47.706569762056745,0.09311773156426,0.04343147401664666
2019-02-28,24.93383159805122,34.87035493544286,-13.325253693058523,-14.51141028641654,0.02807991551527371,0.03401096610973481,-0.015332907634610905,-0.014424084112700639,30.69433700660712,32.360274451416096,0.03424133811534,0.03225709262112,48.187134213892435,57.145005604922744,0.0538696055853,0.05679536168444666
2019-03-31,16.327976458225706,31.77609294329587,-15.76969555378254,-14.956381876818064,0.017652774211610708,0.033763079908376896,-0.01781724179479774,-0.016505172450434227,17.288685424333565,32.426281442757784,0.019155640669899998,0.03444490453003333,20.558407480181888,53.54452486230855,0.0227841408506,0.056590492666720005
