date,elev_ext_m,elev_int_m,model_elev_m
2024-03-16,116.71978569030762,115,116.53711858969689
2024-04-16,115.0,115,116.40318755145539
2024-05-16,116.07099914550781,115,116.26925114431225
2024-06-16,115.00000000000001,115,115.58046282028522
2024-07-16,115.0,115,115.26476046269691
2024-08-16,115.0,115,114.16045206146815
2024-09-16,115.0,115,113.46543560709655
2024-10-16,115.0,115,113.1942377681273
2024-11-16,115.0,115,113.38020305369572
2024-12-16,115.0,115,113.96912314955071
2025-01-16,115.0,115,116.09705354054879
2025-02-16,115.0,115,116.27889458740458
2025-03-16,116.71978569030762,115,116.69018453921788
2025-04-16,118.3447494506836,115,117.3885352666268
2025-05-16,117.40908813476562,115,116.97804250123569
2025-06-16,117.08462742396763,115,116.81454740382192
2025-07-16,117.08353042602539,115,116.4988498742587
2025-08-16,115.0,115,116.04921731647039
2025-09-16,115.0,115,115.25519151534328
2025-10-16,115.0,115,114.7481662117871
2025-11-16,115.0,115,114.20197379279544
2025-12-16,115.0,115,114.31767632146574
